Epoch 1/100, Train Loss: 0.8302490671475729, Validation Loss: 0.6509291231632233, Precision: 0.16666666666666666, Recall: 0.023809523809523808, F1: 0.041666666666666664, Accuracy: 0.05042016806722689
Epoch 2/100, Train Loss: 0.5155311008294423, Validation Loss: 0.467438742518425, Precision: 0.6666666666666666, Recall: 0.25122528543581174, F1: 0.35482729510724237, Accuracy: 0.37815126050420167
Epoch 3/100, Train Loss: 0.3286861757437388, Validation Loss: 0.30415648221969604, Precision: 0.8266666666666667, Recall: 0.6449596212754107, F1: 0.7126549538830241, Accuracy: 0.8151260504201681
Epoch 4/100, Train Loss: 0.20508882105350495, Validation Loss: 0.2216116189956665, Precision: 0.8266666666666667, Recall: 0.7151350598719018, F1: 0.7657031000684252, Accuracy: 0.8823529411764706
Epoch 5/100, Train Loss: 0.14257816274960836, Validation Loss: 0.17557059228420258, Precision: 0.8271604938271605, Recall: 0.7302144249512671, F1: 0.7746876827372183, Accuracy: 0.907563025210084
Epoch 6/100, Train Loss: 0.10531268368164698, Validation Loss: 0.15144533663988113, Precision: 0.8275862068965517, Recall: 0.7492620439988861, F1: 0.7854359814517317, Accuracy: 0.9327731092436975
Epoch 7/100, Train Loss: 0.08151643574237824, Validation Loss: 0.13668695092201233, Precision: 0.8333333333333334, Recall: 0.7747424115845168, F1: 0.8028876988647103, Accuracy: 0.957983193277311
Epoch 8/100, Train Loss: 0.06282161623239517, Validation Loss: 0.12410063296556473, Precision: 0.8333333333333334, Recall: 0.7835143414090782, F1: 0.8076424536194651, Accuracy: 0.957983193277311
Epoch 9/100, Train Loss: 0.04950103287895521, Validation Loss: 0.11874054372310638, Precision: 0.8333333333333334, Recall: 0.7835143414090782, F1: 0.8076424536194651, Accuracy: 0.957983193277311
Epoch 10/100, Train Loss: 0.03867552950978279, Validation Loss: 0.10671364143490791, Precision: 0.8333333333333334, Recall: 0.7914508493455862, F1: 0.8118072609971239, Accuracy: 0.957983193277311
Epoch 11/100, Train Loss: 0.030854676539699238, Validation Loss: 0.1057967096567154, Precision: 0.8333333333333334, Recall: 0.7874825953773321, F1: 0.8097502524752315, Accuracy: 0.957983193277311
Epoch 12/100, Train Loss: 0.02553111550708612, Validation Loss: 0.1000014990568161, Precision: 0.8333333333333334, Recall: 0.7962545252018937, F1: 0.8142547569797359, Accuracy: 0.957983193277311
Epoch 13/100, Train Loss: 0.020967309673627216, Validation Loss: 0.09667599201202393, Precision: 0.8333333333333334, Recall: 0.7914508493455862, F1: 0.8118072609971239, Accuracy: 0.957983193277311
Epoch 14/100, Train Loss: 0.017413105939825375, Validation Loss: 0.09498007223010063, Precision: 0.8333333333333334, Recall: 0.7962545252018937, F1: 0.8142547569797359, Accuracy: 0.957983193277311
Epoch 15/100, Train Loss: 0.014824797150989373, Validation Loss: 0.08958452567458153, Precision: 0.8333333333333334, Recall: 0.7962545252018937, F1: 0.8142547569797359, Accuracy: 0.957983193277311
Epoch 16/100, Train Loss: 0.012599493997792402, Validation Loss: 0.09081612154841423, Precision: 0.8333333333333334, Recall: 0.8002227791701476, F1: 0.8163117655016284, Accuracy: 0.957983193277311
Epoch 17/100, Train Loss: 0.011136877598861854, Validation Loss: 0.08785123750567436, Precision: 0.8333333333333334, Recall: 0.7962545252018937, F1: 0.8142547569797359, Accuracy: 0.957983193277311
Epoch 18/100, Train Loss: 0.009788350698848565, Validation Loss: 0.08785328269004822, Precision: 0.8333333333333334, Recall: 0.8002227791701476, F1: 0.8163117655016284, Accuracy: 0.957983193277311
Epoch 19/100, Train Loss: 0.00849567335098982, Validation Loss: 0.08504234999418259, Precision: 0.8333333333333334, Recall: 0.8002227791701476, F1: 0.8163117655016284, Accuracy: 0.957983193277311
Epoch 20/100, Train Loss: 0.0075511419214308265, Validation Loss: 0.08531156182289124, Precision: 0.8333333333333334, Recall: 0.8002227791701476, F1: 0.8163117655016284, Accuracy: 0.957983193277311
Epoch 21/100, Train Loss: 0.006753908004611731, Validation Loss: 0.08460565656423569, Precision: 0.8333333333333334, Recall: 0.8002227791701476, F1: 0.8163117655016284, Accuracy: 0.957983193277311
Epoch 22/100, Train Loss: 0.006124678812921047, Validation Loss: 0.08246991783380508, Precision: 0.8333333333333334, Recall: 0.8002227791701476, F1: 0.8163117655016284, Accuracy: 0.957983193277311
Epoch 23/100, Train Loss: 0.0055326680031915505, Validation Loss: 0.083946842700243, Precision: 0.8333333333333334, Recall: 0.8002227791701476, F1: 0.8163117655016284, Accuracy: 0.957983193277311
Epoch 24/100, Train Loss: 0.005004850123077631, Validation Loss: 0.08205860108137131, Precision: 0.8333333333333334, Recall: 0.8002227791701476, F1: 0.8163117655016284, Accuracy: 0.957983193277311
Epoch 25/100, Train Loss: 0.004584683384746313, Validation Loss: 0.08245416730642319, Precision: 0.8333333333333334, Recall: 0.8002227791701476, F1: 0.8163117655016284, Accuracy: 0.957983193277311
Epoch 26/100, Train Loss: 0.0042080618906766174, Validation Loss: 0.08180456981062889, Precision: 0.8333333333333334, Recall: 0.8002227791701476, F1: 0.8163117655016284, Accuracy: 0.957983193277311
Epoch 27/100, Train Loss: 0.0039023516544451314, Validation Loss: 0.08195353671908379, Precision: 0.8333333333333334, Recall: 0.8002227791701476, F1: 0.8163117655016284, Accuracy: 0.957983193277311
Epoch 28/100, Train Loss: 0.00360366051706175, Validation Loss: 0.08163898438215256, Precision: 0.8333333333333334, Recall: 0.8002227791701476, F1: 0.8163117655016284, Accuracy: 0.957983193277311
Epoch 29/100, Train Loss: 0.0033481608300159377, Validation Loss: 0.08055806159973145, Precision: 0.8333333333333334, Recall: 0.8002227791701476, F1: 0.8163117655016284, Accuracy: 0.957983193277311
